|mess|label
0|Chồng lại đi đâu nx r|0
1|Đừng cư xử với A. Như những gì e đã làm với A thêm một phút giây nào nữa|0
2|Con ngủ muộn thế|0
3|Alô cu|0
4|Thấy chưa|0
5|542922|0
6|Ko tắm hả|0
7|Chs game|0
8|400092|0
9|Ck Đi về  đây Đi vk ck Minh  ra nhà  nghỉ ngủ  ở  đây k có  chỗ  ngủ|0
10|258036|0
11|Thế công chúa đói hông xuống ăn đi|0
12|A ngủ r ạ😔🥲|0
13|555388|0
14|Nghĩ nhiều thì đau đầu nghĩ thông suốt thì đau lòng|0
15|539257|0
16|9388|0
17|Ngủ chưa|0
18|Online koi.|0
19|Oki =)|0
20|Anh nói em việc này nhe|0
21|Đây nhà trọ ở ngay ngõ 1 phố xuân giao ngay đằng sau nhà anh|0
22|Câu này hình như người con gái nào a quen cũng đều được nhận|0
23|xem video ấy ấy à haha|0
24|361985|0
25|Tý ơi|0
26|Công chúa của ck ngoan ngủ ngoan nha hong ck thương thương công chúa của ck nhiều nhiều nek ..bỏ ck cả ngày r thêm buổi tối nua cũng k sao ck biet zk làm c.c mệt nen zk ngủ quên ..thoi zk yeu ngoan om ck ngủ nha ck thương thương zk nhieu nhieu nek zk ngoan om nách ck ngủ nha ck thuong zk nhiều nek|0
27|672856|0
28|Ck ra đây Đi vk chiều  ck hết|0
29|Tao về nhà Đây|0
30|Chưa về à|0
31|Ôm anh chắc khó lắm nhỉ|0
32|Ngủ ngon nhé em bb|0
33|12h rồi vk chưa ngủ nữa|0
34|Cố hộ e tý. Mai e giả|0
35|639009|0
36|Lô ngủ chx|0
37|A an bam gia dinh ak|0
38|892124|0
39|762627|0
40|7142|0
41|Đt e hết tiền rồi cố gắng ngủ đi đừng nghĩ linh tinh ạ|0
42|Say quá r|0
43|Mấy bn của cj k muốn jk|0
44|Dm m vào xem đi xem nay t ib gọi điện cho m bao nhiêu cuộc dm m vừa phải thôi|0
45|Ụm gọi cũng đcTa ngủ đây|0
46|Ngoài ck ra vk chẳng ib vs ai cả.|0
47|Anh có thấy hp khi quen em không ?|0
48|Hay anh thấy mệt mỏi 😢|0
49|Hâm|0
50|4252|0
51|Nhanh lên|0
52|Kêu tui dậy tui hk thích kêu nt tui  thích gọi|0
53|Từ nay về sau đừng nhìn mặt tao nữa|0
54|- dậy ib đii|0
55|Mai ib nha|0
56|770174|0
57|Thôi xin lỗi nha|0
58|Chồng em ơi|0
59|Á há vâg á|0
60|Haizz...thực ra e cũng chẳng thích xem ở đây...e bảo a hưng r..ae cũng muốn xem ở nhà a hưng...nhưg a tuân cứ vào song lôi đi..chán thật|0
61|Tự dưng sao nay lại tốt thế... trước về nhờ mỏi mồm có có thèm nói hỏi hộ cho đâu|0
62|Yêu bé|0
63|4570|0
64|Mẹ hay cha gì cũng chỉ đều gọi người ck bây giờ của tôi|0
65|Anh ny của e ngủ ngon hể|0
66|Nói chuyện với công chúa thấy quấn lắm thề|0
67|Xin lỗi nhìu|0
68|777342|0
69|043026|0
70|Hay cực kì|0
71|còn ck ko giup đc gì cho vk0|0
72|Gọi thì đell tl|0
73|Con đi lm k m|0
74|400092|0
75|389467|0
76|ck ko lam gì sai|0
77|K nạp đc.  Thôi ck ạ|0
78|Cj đây|0
79|Em ko thích anh đưa em về nhà anh mà em chx đồng ý|0
80|A có rep em mà. Thì hôm nay a cũng chán cứ nằm nhg a có động đt mấy đâu a cứ nằm.|0
81|Rep rồi|0
82|991464|0
83|R m tính làm gì|0
84|Ngủ rồi à|0
85|981808|0
86|co so nao goi may so la dung nghe nha tao lam bo keu goi may ko dc|0
87|ngủ r à e??|0
88|558905|0
89|Uk vk ,chiều nay ck cũng nói chuyện với ơi sui, à vk|0
90|Xl công chúa nhá|0
91|6035|0
92|Em đồng ý làm bồ anh nhá|0
93|Chúc em thêm tuổi mới khôn lớn và trưởng thành hơn.tuổi mới tìm được nụ cười mới niềm vui mới.nếu có thể thì tìm được hạnh phúc mới.nhiều sức khỏe.còn anh thì chắc ko lo được cho em đến nỗi tổ chức sinh nhật cho em anh còn ko làm được nak.chúc em tất cả...|0
94|3565|0
95|Chán v|0
96|Ko có ck mọi người vẫn làm đc mà|0
97|Hai thức|0
98|Thằng điên|0
99|...|0
100|5055|0
101|Chx|0
102|Ngủ ngon nhé|0
103|A ngủ trc đi|0
104|Nhung trẻ 🐃 ha|0
105|Vợ yêu|0
106|Phi|0
107|Về nhà rồi à|0
108|Cho mặt nó hết mụn đi|0
109|4774|0
110|Rep đi ma|0
111|Đang đâu đấy???|0
112|Thâu coi chừng ik|0
113|2866|0
114|Ck nn|0
115|563334|0
116|Sao|0
117|Tưởng e bảo ngủ mà|0
118|Bye bố|0
119|anh nhớ lợn😢|0
